Gender,Stage Name,Full Name,Date of Birth,Group,Country,Second Country,Birthplace,Other Group,Former Group,Position,SK_Province,Short,Debut,Company,Members,Orig. Memb.,Fanclub Name,Active
Female,Marin,Yasufuku Marin,2001-03-17,Bling Bling,Japan,,Osaka,,,,,,2020-11-17,Major9,6.0,6.0,,Yes
Female,Mashiro,Sakamoto Mashiro,1999-12-16,Madein,Japan,,,Kep1er,,,,,2024-09-03,,,,,
Female,May,Jeong Chaeyoung,2001-07-27,,South Korea,,,,NeonPunch,,,,2018-06-27,,,,,No
Female,May,Hirokawa Mao,2004-11-16,Cherry Bullet,Japan,,,,,,,,2019-01-21,FNC,7.0,10.0,,Yes
Female,May,Lee Yebin,2008-08-19,RESCENE,South Korea,,Goyang,,,,Gyeonggi-do,,2024-03-26,,,,,
Female,Mayna,Simone Shaoxi Mengna,2000-05-12,HOT ISSUE,China,Romania,,,,,,,2021-04-28,,,,,
Female,Mayu,Kouma Mayu,2001-05-12,tripleS,Japan,,Tomioka,,,,,,2023-02-13,MODHAUS,20.0,24.0,,Yes
Female,Medic Jin,Bae Yujin,1996-08-25,Girlkind,South Korea,,,,,,,,2018-01-16,Nextlevel,5.0,5.0,,Yes
Female,Meiqi,Meng Meiqi,1998-10-15,,China,,Luoyang,,WJSN,,,,2016-02-25,,,,,No
Female,Mia,Son Hyunmi,1997-12-31,MIXX,South Korea,,,,,,,,2016-05-02,Chiko,5.0,4.0,,No
Female,Mia,Han Eunji,2000-01-13,Everglow,South Korea,,,,,,,,2019-03-18,Yuehua,6.0,6.0,,Yes
Female,Mihee,Lee Mihee,2000-08-24,BOTOPASS,South Korea,,,,,,,,2020-08-26,WKS ENE,8.0,8.0,,Yes
Female,Mijoo,Lee Mijoo,1994-09-23,Lovelyz,South Korea,,Okcheon,,,,Chungcheongbuk-do,,2014-11-17,Woollim,8.0,8.0,Lovelinus,No
Female,Mika,Yu Dahyun,2002-01-08,Geenius,South Korea,,,,,,,,2024-01-05,HOMe,5.0,5.0,,Yes
Female,Miko,Matsuda Miko,1995-10-28,Honey Popcorn,Japan,,,,,,,,2018-03-21,Kyun Create,3.0,3.0,,No
Female,Miku,Katae Miku,2002-10-09,Pink Fantasy,Japan,,,,,,,,2018-10-28,My Doll,8.0,8.0,,Yes
Female,Mimi,Jung Mimi,1993-01-01,Gugudan,South Korea,,,,,,,,2016-06-28,Jellyfish,8.0,9.0,,No
Female,Mimi,Kim Mihyun,1995-05-01,Oh My Girl,South Korea,,Jeju,,,,,OHMG,2015-04-21,WM,6.0,8.0,Miracle,Yes
Female,Min,Lee Minyoung,1991-06-21,miss A,South Korea,,Seoul,,,,Seoul,,2010-07-01,JYP,3.0,4.0,Say A,No
Female,Mina,Kwon Mina,1993-09-21,,South Korea,,Busan,,"AOA, AOA BLACK",,Busan,,2012-08-09,,,,,No
Female,Mina,Myoui Mina,1997-03-24,Twice,Japan,,San Antonio,MISAMO,,,,,2015-10-20,JYP,9.0,9.0,Once,Yes
Female,Mina,Kang Mina,1999-12-04,Gugudan,South Korea,,Icheon,Gugudan Oguogu,I.O.I,,Gyeonggi-do,,2016-06-28,Jellyfish,8.0,9.0,,No
Female,Minah,Bang Minah,1993-05-13,Girl's Day,South Korea,,Incheon,,,,Incheon,GsD,2010-07-09,DreamT,4.0,5.0,Dai5y,Hiatus
Female,Minami,Ito Minami,2006-11-29,RESCENE,Japan,,Chiba,,,,,,2024-03-26,,,,,
Female,Minha,Park Minha,1991-06-27,,South Korea,,Seoul,,9Muses,,Seoul,,2010-08-12,,,,,No
Female,Minhee,Joo Minhee,1993-01-03,Stellar,South Korea,,Seoul,,,,Seoul,,2011-08-28,Pascal,4.0,4.0,Twinkle,No
Female,Mini,,2000-06-12,Purplebeck,South Korea,,,,,,,,2019-06-24,Majesty,5.0,5.0,Beckies,Yes
Female,Minjae,Seong Minjae,1994-12-18,Sonamoo,South Korea,,Busan,,,Lead Vocalist,Busan,,2014-12-29,TS,5.0,7.0,Solbangul,No
Female,Minjae,Shin Minjae,1991-08-13,Tahiti,South Korea,,Busan,,,,Busan,,2012-06-23,J-line,5.0,6.0,,No
Female,Minji,Kim Minji,2001-01-16,Busters,South Korea,,,,,,,,2017-11-27,JTG,5.0,5.0,Bu-Chu,Yes
Female,Minji,Kim Minji,2004-05-07,NewJeans,South Korea,,Yeongwol,,,,Gangwon-do,NWJNS,2022-07-22,ADOR,5.0,5.0,Bunnies,Yes
Female,Minji,Park Minji,1999-03-31,SECRET NUMBER,South Korea,,Yongin,,,,Gyeonggi-do,,2020-05-19,Vine,5.0,5.0,,Yes
Female,Minjoo,Kim Minjoo,2001-02-05,IZ*ONE,South Korea,,Seoul,,,,Seoul,IZONE,2018-10-29,Off The Record,12.0,12.0,,No
Female,Minju,Kang Minjoo,2001-03-11,GWSN,South Korea,,,,,,,,2018-09-05,Kiwi Pop,7.0,7.0,Groo,Yes
Female,Minju,Seo Minju,2003-09-29,KELT9b,South Korea,,,,,,,,,,,,,
Female,Minju,Park Minju,2004-05-11,ILLIT,South Korea,,,,,,,,2024-03-25,,,,,
Female,Minjung,Cha Minjung,2004-07-15,,South Korea,,,,Busters,,,,2017-11-27,,,,,No
Female,Minkyung,Kang Minkyung,1990-08-03,Davichi,South Korea,,Goyang,,,,Gyeonggi-do,,2008-02-04,CJ E&M,2.0,2.0,,Yes
Female,Minnie,Nicha Yontararak,1997-10-23,(G)I-DLE,Thailand,,,,,,,,2018-05-02,Cube,5.0,6.0,,Yes
Female,Minseo,Kim Minseo,2004-08-12,woo!ah!,South Korea,,,,,"Vocalist, Dancer",,,2020-05-15,NV,5.0,6.0,,Yes
Female,Minseo,Park Minseo,2003-03-21,Saturday,South Korea,,,,,,,,2018-07-18,SD,6.0,7.0,,Yes
Female,Mint,Kunpat Phonpawiworakun,1994-06-23,Tiny-G,Thailand,,,,,,,,2012-08-23,GNG,3.0,4.0,,No
Female,Minyoung,Kim Minyeong,1990-09-12,Brave Girls,South Korea,,Seongnam,,,,Gyeonggi-do,,2011-04-08,Brave,4.0,5.0,,Yes
Female,Minzy,Kong Minji,1994-01-18,2NE1,South Korea,,,,,,,,2009-05-06,YG,4.0,4.0,Blackjack,No
Female,Mire,Su Mire,2006-03-26,TRI.BE,Japan,,,,,,,,2021-02-17,TR - Mellow,7.0,7.0,TRUE,Yes
Female,Miryo,Jo Mihye,1981-11-02,Brown Eyed Girls,South Korea,,,,,,,B.E.G.,2006-03-02,Mystic,4.0,4.0,Everlasting,Yes
Female,Miso,Park Miso,1991-04-04,Tahiti,South Korea,,Gwangju,,,,Gwangju,,2012-06-23,J-line,5.0,6.0,,No
Female,Miso,Park Jihyun,1996-09-16,P.O.P,South Korea,,Busan,,,,Busan,,2017-07-26,DWM,6.0,6.0,,No
Female,Miso,Jeon Jimin,2000-10-25,Dreamnote,South Korea,,,,,,,,2018-11-07,iME,6.0,8.0,,Yes
Female,MiU,Ito Miyu,2003-01-09,Madein,Japan,,Tokyo,LIMELIGHT,,,,,2024-09-03,,,,,
Female,Miya,Miyauchi Haruka,1993-05-26,GWSN,Japan,,,,,,,,2018-09-05,Kiwi Pop,7.0,7.0,Groo,Yes
Female,Miyeon,Jo Miyeon,1997-01-31,(G)I-DLE,South Korea,,,,,,,,2018-05-02,Cube,5.0,6.0,,Yes
Female,Moka,Sakai Moka,2004-10-08,ILLIT,Japan,,Fukuoka,,,,,,2024-03-25,,,,,
Female,Moko,Sakura Moko,1991-03-19,Honey Popcorn,Japan,,,,,,,,2018-03-21,Kyun Create,3.0,3.0,,No
Female,Momo,Hirai Momo,1996-11-09,Twice,Japan,,Kyoto,MISAMO,,,,,2015-10-20,JYP,9.0,9.0,Once,Yes
Female,Momoka,Matsuda Momoka,2000-12-26,Pink Fantasy,Japan,,,,,,,,2018-10-28,My Doll,8.0,8.0,,Yes
Female,Monday,Kim Jimin,2002-05-10,Weeekly,South Korea,,,,,"Main Vocal, Main Dancer",,,2020-07-30,Play M,6.0,7.0,,Yes
Female,Monika,Kang Yeh,1991-05-21,Badkiz,South Korea,,Seoul,,,,Seoul,,2014-03-24,Zoo,5.0,5.0,,No
Female,Moon Sua,Moon Sua,1999-09-09,Billlie,South Korea,,Cheongju,,,,Chungcheongbuk-do,,2021-11-10,MYSTIC,7.0,6.0,,Yes
Female,Moonbyul,Moon Byulyi,1992-12-22,Mamamoo,South Korea,,Bucheon,,,Main Rapper,Gyeonggi-do,,2014-06-18,RBW,4.0,4.0,Moomoo,Yes
Female,Moonhee,Choi Moonhee,1997-04-15,Bonus Baby,South Korea,,,,MyB,,,,2017-01-01,Maroo,6.0,6.0,,No
Female,Myungji,Kim Myungji,1997-10-09,Tiny-G,South Korea,,,,,,,,2012-08-23,GNG,3.0,4.0,,No
Female,Nada,Yoon Yejin,1991-05-24,,South Korea,,,,Wassup,,,,2013-08-07,,,,,No
Female,Naeun,Son Naeun,1994-02-10,,South Korea,,Seoul,,Apink,,Seoul,,2011-04-19,,,,,No
Female,Naeun,Lee Naeun,1999-05-05,April,South Korea,,Daejeon,,,,Daejeon,,2015-08-24,DSP,6.0,6.0,Fineapple,No
Female,Nagomi,Abe Nagomi,2007-07-02,Madein,Japan,,London,,,,,,2024-09-03,,,,,
Female,Nahyun,Kim Nahyun,1995-12-09,Sonamoo,South Korea,,Seoul,,,,Seoul,,2014-12-29,TS,5.0,7.0,Solbangul,No
Female,Nahyun,Kang Nahyun,2002-01-25,PRIMROSE,South Korea,,,,HOT ISSUE,,,,2023-01-13,AO,1.0,2.0,,Yes
Female,Nako,Yabuki Nako,2001-06-18,IZ*ONE,Japan,,Tokyo,,,,,IZONE,2018-10-29,Off The Record,12.0,12.0,,No
Female,Nakyung,Lee Nakyung,2000-06-01,fromis_9,South Korea,,Mungyeong,,,"Lead Vocalist, Rapper, Visual",Gyeongsangbuk-do,,2018-01-24,Off The Record,9.0,9.0,,Yes
Female,Nakyung,Kim Nakyung,2002-10-13,tripleS,South Korea,,Ulsan,,,,Ulsan,,2023-02-13,MODHAUS,20.0,24.0,,Yes
Female,Namjoo,Kim Namjoo,1995-04-15,Apink,South Korea,,Seoul,,,,Seoul,,2011-04-19,Plan A,5.0,7.0,Pink Panda,Yes
Female,Nana,Im Jinah,1991-09-14,After School,South Korea,,Cheongju,Orange Caramel,,,Chungcheongbuk-do,,2009-01-15,Pledis,6.0,5.0,Playgirlz,No
Female,Nana,Kwon Nayeon,2001-03-09,woo!ah!,South Korea,,,,,"Leader, Main Dancer",,,2020-05-15,NV,5.0,6.0,,Yes
Female,Nana,Ezumi Nana,2007-06-06,UNIS,Japan,,Tokyo,,,,,,2024-03-27,,,,,
Female,Nancy,Nancy Mcdonie,2000-04-13,MOMOLAND,South Korea,USA,Daegu,,,,Daegu,,2016-11-09,Double Kick,6.0,7.0,,Yes
Female,Nara,Kwon Nara,1991-03-13,Hello Venus,South Korea,,Seongnam,,,,Gyeonggi-do,HV,2012-05-09,Fantagio,6.0,6.0,Hello Cupid,No
Female,Narae,Park Narae,1988-02-23,SPICA,South Korea,,Incheon,SPICA-S,SPICA,,Incheon,,2012-02-07,CJ E&M,5.0,5.0,Mercury,No
Female,Nari,Kim Nari,1992-10-05,Wassup,South Korea,,,,,,,,2013-08-07,Mafia,7.0,7.0,,No
Female,Narin,Lee Narin,2001-10-29,Bling Bling,South Korea,,,,,,,,2020-11-17,Major9,6.0,6.0,,Yes
Female,Narin,Lee Eunseo,2000-06-06,Queenz Eye,South Korea,,,,,,,,2022-10-24,Big Mountain,6.0,6.0,,Yes
Female,Narsha,Park Hyojin,1981-12-28,Brown Eyed Girls,South Korea,,,,,,,B.E.G.,2006-03-02,Mystic,4.0,4.0,Everlasting,Yes
Female,Natty,Ahnatchaya Suputhipong,2002-05-30,KISS OF LIFE,Thailand,,Bangkok,,,,,,2023-06-05,S2,4.0,4.0,KISSY,Yes
Female,Nayeon,Im Nayeon,1995-09-22,Twice,South Korea,,Seoul,,,,Seoul,,2015-10-20,JYP,9.0,9.0,Once,Yes
Female,Nayoung,Kim Nayoung,1995-11-23,Gugudan,South Korea,,,,,,,,2016-06-28,Jellyfish,8.0,9.0,,No
Female,Nayoung,Im Nayoung,1995-12-18,Pristin,South Korea,,Chungcheongham,"I.O.I, Pristin V",,,,,2017-03-21,Pledis,10.0,10.0,,No
Female,Nayoung,Kim Nayoung,2002-11-30,LIGHTSUM,South Korea,,Chuncheon,,,,Gangwon-do,,2021-06-10,Cube,6.0,8.0,SUMIT,Yes
Female,Nayu,Kim Yewon,2002-07-23,ILY:1,South Korea,,,,,,,,2022-04-04,FC ENM,6.0,6.0,,Yes
Female,Nayun,Kim Nayun,1998-07-31,MOMOLAND,South Korea,,Seoul,,,,Seoul,,2016-11-09,Double Kick,6.0,7.0,,Yes
Female,NC.A,Im Soeun,1996-10-07,UNI.T,South Korea,,Osan,,,,Gyeonggi-do,,2018-05-18,Unit Culture,8.0,9.0,,No
Female,New Sun,Choi Yoonsun,1997-06-19,Sonamoo,South Korea,,,,,Rapper,,,2014-12-29,TS,5.0,7.0,Solbangul,No
Female,Nicole,Nicole Jung,1991-10-07,KARA,South Korea,USA,Los Angeles,,,,,,2007-03-29,DSP,5.0,5.0,Kamilia,Yes
Female,Nien,Hsu Nien Tsu,2003-06-02,tripleS,Taiwan,Vietnam,Taipei,,,,,,2023-02-13,MODHAUS,20.0,24.0,,Yes
Female,Nina,Nina Nadia Mateer,2003-03-15,IRRIS,Australia,South Korea,Brisbane,,,,,,2022-07-06,Mellow,4.0,4.0,,Yes
Female,Ningning,Ning Yizhuo,2002-10-23,aespa,China,,Harbin,,,,,,2020-11-17,SM,4.0,4.0,My,Yes
Female,Nizz,Hwang Sujeong,2001-07-07,X:IN,South Korea,,,,,,,,2023-04-11,Escrow,5.0,5.0,,Yes
Female,Noeul,No Eul,1989-05-10,Rainbow,South Korea,,Jeonju,,,,Jeollabuk-do,,2009-11-12,DSP,7.0,7.0,,No
Female,Nova,Maria Pavlovna Emelyanova,2002-10-10,X:IN,Russia,,Moscow,,,,,,2023-04-11,Escrow,5.0,5.0,,Yes
Female,Nvee,Florence Alena Smith,1999-01-10,BLACKSWAN,USA,,,,,,,,2020-10-16,DR,5.0,5.0,,Yes
Female,Onda,Jo Selim,2000-05-18,Everglow,South Korea,,,,,,,,2019-03-18,Yuehua,6.0,6.0,,Yes
Female,Pharita,Pharita Chaikong,2005-08-26,BABYMONSTER,Thailand,,Bangkok,,,,,,2023-11-27,YG,7.0,7.0,,Yes
Female,Qri,Lee Jihyun,1986-12-12,T-ara,South Korea,,Goyang,,,,Gyeonggi-do,,2009-07-29,MBK,4.0,6.0,QUEEN'S,Hiatus
Female,Rachel,Sung Nayeon,2000-08-28,April,South Korea,USA,,,,,,,2015-08-24,DSP,6.0,6.0,Fineapple,No
Female,Raina,Oh Hyerin,1989-05-07,After School,South Korea,,Ulsan,Orange Caramel,,,Ulsan,,2009-01-15,Pledis,6.0,5.0,Playgirlz,No
Female,Rainie,Chu Chingyu,2000-11-16,PRIMROSE,Taiwan,,,,bugAboo,,,,2023-01-13,AO,1.0,2.0,,Yes
Female,Raon,Lee Seoyoung,2000-01-21,ANS,South Korea,,,,,,,,2019-09-16,ANS,8.0,6.0,,No
Female,Rayeon,Lee Rayeon,2001-11-24,FANATICS,South Korea,,Gwangju,,,,Gwangju,,2019-08-06,FENT,8.0,6.0,,Yes
Female,Red,Lee Heejin,1991-07-10,Pungdeng-E,South Korea,,Daegu,,,,Daegu,,2013-12-11,DOMA,3.0,3.0,,Hiatus
Female,Rei,Naoi Rei,2004-02-03,IVE,Japan,,,,,,,,2021-12-01,Starship,6.0,6.0,DIVE,Yes
Female,Remi,Katsuno Rise,2001-04-26,Cherry Bullet,Japan,,,,,,,,2019-01-21,FNC,7.0,10.0,,Yes
Female,Rena,Kang Yebin,1998-10-19,Hinapia,South Korea,,,Pristin V,Pristin,,,,2017-03-21,Alseulbit,5.0,5.0,,No
Female,Ria,Kuwayama Ria,1998-02-03,BOTOPASS,Japan,,,,,,,,2020-08-26,WKS ENE,8.0,8.0,,Yes
Female,Riina,Lee Seunghyeon,2001-02-21,H1-KEY,South Korea,,,,,,,,2022-01-05,GLG,4.0,4.0,,Yes
Female,Rina,Kang Soeun,2001-09-27,Weki Meki,South Korea,,,,,,,WeMe,2017-08-08,Fantagio,8.0,8.0,,Yes
Female,Rinji,Hwang Rinji,2006-05-05,Pixy,South Korea,,,,,,,,2021-02-24,ALLART,5.0,6.0,Winxy,Yes
Female,Ririka,Kishida Ririka,2002-07-02,ILY:1,Japan,,,,,,,,2022-04-04,FC ENM,6.0,6.0,,Yes
Female,Riwon,Kim Riwon,2007-01-11,CLASS:y,South Korea,,,,,,,,2022-05-05,Universal,7.0,7.0,,Yes
Female,Roa,Kim Minkyung,1997-07-29,Hinapia,South Korea,,,Pristin V,Pristin,,,,2017-03-21,Alseulbit,5.0,5.0,,No
Female,Roa,Kwak Jieun,1994-10-06,,South Korea,,,,X:IN,,,,2023-04-11,,,,,No
Female,Rona,Chang Ching,2002-06-05,ILY:1,Taiwan,,Taipei,,,,,,2022-04-04,FC ENM,6.0,6.0,,Yes
Female,Rora,Lee Dain,2008-08-05,BABYMONSTER,South Korea,,,,,,,,2023-11-27,YG,7.0,7.0,,Yes
Female,Rose,Roseanne Park,1997-02-11,BLACKPINK,South Korea,,Auckland,,,,,,2016-08-08,YG,4.0,4.0,,Yes
Female,Royeon,Jeon Hyunjoo,1998-02-20,ANS,South Korea,,,,,,,,2019-09-16,ANS,8.0,6.0,,No
Female,Ruby,Heo Jiwon,2002-08-21,PRIMROSE,South Korea,,,,,,,,2023-01-13,AO,1.0,2.0,,Yes
Female,Rui,Watanabe Rui,1994-10-08,H.U.B,Japan,,,,N-Bulance,,,HUB,2017-02-09,New Planet,5.0,4.0,,No
Female,Ruka,Kawai Ruka,2002-03-20,BABYMONSTER,Japan,,,,,,,,2023-11-27,YG,7.0,7.0,,Yes
Female,Ryujin,Shin Ryujin,2001-04-17,ITZY,South Korea,,Seoul,,,,Seoul,,2019-02-12,JYP,5.0,5.0,Mitzy,Yes
Female,Saebom,Kim Saerok,1997-01-30,NATURE,South Korea,,,,,,,,2018-08-03,n.CH,9.0,9.0,,Yes
Female,Saebom,Kim Seyoung,1995-01-13,Favorite,South Korea,,Gwacheon,,,,Gyeonggi-do,,2017-07-05,Astory,6.0,6.0,,Yes
Female,Saebyeok,Shim Jaeyoung,1996-11-09,Ho1iday,South Korea,,,,,,,,2019-04-18,,,,,
Female,Saebyeol,Han Saebyeol,1996-05-23,Matilda,South Korea,,,,,,,,2016-03-18,Box,4.0,4.0,,No
Female,Saena,Jung Sehyun,2004-03-12,FIFTY FIFTY,South Korea,,Busan,,,,Busan,,2022-11-18,ATTRAKT,4.0,4.0,Hunnies,Yes
Female,Saerom,Lee Saerom,1997-01-07,fromis_9,South Korea,,Gangwon,,,,,,2018-01-24,Off The Record,9.0,9.0,,Yes
Female,Sakura,Miyawaki Sakura,1998-03-19,LE SSERAFIM,Japan,,Kagoshima,,IZ*ONE,,,,2022-05-02,Source,5.0,6.0,FEARNOT,Yes
Female,Sally,Liu Xiening,1996-10-23,Gugudan,China,,Guangdong,,,,,,2016-06-28,Jellyfish,8.0,9.0,,No
Female,Sana,Minatozaki Sana,1996-12-29,Twice,Japan,,Osaka,MISAMO,,,,,2015-10-20,JYP,9.0,9.0,Once,Yes
Female,Sang,Cui Xiang,1995-01-26,Clear:I,China,,,,"BOTOPASS, ILUV",,,,2024-07-31,,,,,
Female,Sanga,Lee Sanga,1999-08-05,,South Korea,,,,Pink Fantasy,,,,2018-10-28,,,,,No
Female,Sangah,Yoo Sangah,2002-09-04,LIGHTSUM,South Korea,,Incheon,,,,Incheon,,2021-06-10,Cube,6.0,8.0,SUMIT,Yes
Female,Sarang,Choi Sarang,2007-11-30,Candy Shop,South Korea,,Seoul,,,,Seoul,,2024-03-27,,,,,
Female,Satbyeol,Jeon Yujin,2001-02-27,,South Korea,,,,"Girls Alert, Pixy",,,,2017-05-25,,,,,No
Female,Sea,Kim Sujeong,1999-12-05,Highteen,South Korea,,,,,,,,2016-10-14,Elijah,4.0,4.0,,No
Female,Seea,Kang Eunyoung,1994-08-21,Pink Fantasy,South Korea,,,,,,,,2018-10-28,My Doll,8.0,8.0,,Yes
Female,Seeun,Yoon Seeun,2003-06-14,STAYC,South Korea,,Pyeongtaek,,,,Gyeonggi-do,,2020-11-12,Hi-Up,6.0,6.0,,Yes
Female,Segye,Shin Segye,1998-08-19,AREAL,South Korea,,,,Rose Finger,,,,2020-08-21,JZ Factory,4.0,4.0,,No
Female,Sehyung,Kang Sehyung,1998-12-13,Berry Good,South Korea,,,,,,,,2014-05-21,Asia Bridge,6.0,5.0,,No
Female,Sei,Lee Seojung,2000-01-07,Weki Meki,South Korea,,,,,,,WeMe,2017-08-08,Fantagio,8.0,8.0,,Yes
Female,Sejeong,Kim Sejeong,1996-08-28,Gugudan,South Korea,,,,I.O.I,,,,2016-06-28,Jellyfish,8.0,9.0,,No
Female,Seline,Jung Yeonjeong,2000-06-20,cignature,South Korea,,,,,,,,2020-02-04,C9,7.0,7.0,,Yes
Female,Semi,Gu Semi,2002-04-10,cignature,South Korea,,,,,,,,2020-02-04,C9,7.0,7.0,,Yes
Female,Semmi,Oh Heesun,1995-10-22,Matilda,South Korea,,,,,,,,2016-03-18,Box,4.0,4.0,,No
Female,Sena,Lim Yena,2005-10-12,ADYA,South Korea,,Incheon,,,,Incheon,,2023-05-09,Starting House,5.0,5.0,,Yes
Female,Seohyun,Seo Joohyun,1991-06-28,Girls' Generation,South Korea,,Seoul,TTS,,,Seoul,SNSD,2007-08-05,SM,5.0,9.0,SONE,Yes
Female,Seoi,Lee Yejin,2000-02-12,H1-KEY,South Korea,,,,,,,,2022-01-05,GLG,4.0,4.0,,Yes
Female,Seokyoung,Kim Seokyung,1999-04-16,GWSN,South Korea,,,,,,,,2018-09-05,Kiwi Pop,7.0,7.0,Groo,Yes
Female,Seol,Min Jihye,1997-01-01,P.O.P,South Korea,,Gunsan,,,,Jeollabuk-do,,2017-07-26,DWM,6.0,6.0,,No
Female,Seola,Kim Hyunjung,1994-12-24,WJSN,South Korea,,Seoul,"WJMK, WJSN The Black",,,Seoul,Cosmic Girls,2016-02-25,Starship,10.0,12.0,Ujung,Yes
Female,Seolhyun,Kim Seolhyun,1995-01-03,AOA,South Korea,,Bucheon,,,,Gyeonggi-do,,2012-07-30,FNC,4.0,8.0,ELVIS,Yes
Female,Seonyu,Kim Seonyu,2008-03-20,CLASS:y,South Korea,,,,,,,,2022-05-05,Universal,7.0,7.0,,Yes
Female,Seoryoung,Lee Seoryung,2000-01-26,GWSN,South Korea,,,,,,,,2018-09-05,Kiwi Pop,7.0,7.0,Groo,Yes
Female,Seowon,Jang Seowon,2006-12-05,Lapillus,South Korea,,Gwangju,,,,Gwangju,,2022-06-22,MLD,6.0,6.0,LAPIS,Yes
Female,Seowon,Jung Seowon,2004-04-26,ADYA,South Korea,,Gwacheon,,,,Gyeonggi-do,,2023-05-09,Starting House,5.0,5.0,,Yes
Female,Seowon,Lim Seowon,2011-01-27,UNIS,South Korea,,,,,,,,2024-03-27,,,,,
Female,Seoyeon,Lee Seoyeon,2000-01-22,fromis_9,South Korea,,Seoul,,,,Seoul,,2018-01-24,Off The Record,9.0,9.0,,Yes
Female,Seoyeon,Kim Minju,1995-11-26,Favorite,South Korea,,Gwacheon,,,,Gyeonggi-do,,2017-07-05,Astory,6.0,6.0,,Yes
Female,Seoyeon,Yoon Seoyeon,2003-08-06,tripleS,South Korea,,,,,,,,2023-02-13,MODHAUS,20.0,24.0,,Yes
Female,Seoyeon,Ahn Seoyeon,2005-03-26,CSR,South Korea,,Bucheon,,,,Gyeonggi-do,,2022-07-27,A2Z,7.0,7.0,Maeum,Yes
Female,Seoyoon,Kim Suyoung,1995-01-26,BOTOPASS,South Korea,,,,ILUV,,,,2020-08-26,WKS ENE,8.0,8.0,,Yes
Female,Seoyoung,Lee Seoyoung,1994-06-27,Hello Venus,South Korea,,,,,,,HV,2012-05-09,Fantagio,6.0,6.0,Hello Cupid,No
Female,Seoyul,Seo Yuri,1997-11-26,Berry Good,South Korea,,,,,,,,2014-05-21,Asia Bridge,6.0,5.0,,No
Female,Serina,Saito Serina,2006-05-03,Madein,Japan,,Osaka,,,,,,2024-09-03,,,,,
Female,Serri,Park Miyeon,1990-09-16,Dal Shabet,South Korea,,Seoul,,,,Seoul,,2011-01-03,Happy Face,4.0,6.0,Darling,Hiatus
Female,Seulgi,Kang Seulgi,1994-02-10,Red Velvet,South Korea,,Seoul,Red Velvet - IRENE SEULGI,,,Seoul,RV,2014-08-01,SM,5.0,4.0,,Yes
Female,Seulgi,Jeong Seulgi,1990-05-12,S#aFLA,South Korea,,,,,,,,2018-10-18,,,,,
Female,Seungah,Oh Seungah,1988-09-13,Rainbow,South Korea,,Seoul,"Rainbow Blaxx, Rainbow Pixie",,,Seoul,,2009-11-12,DSP,7.0,7.0,,No
Female,Seungchae,Cho Seungchae,2006-10-26,ADYA,South Korea,,,,,,,,2023-05-09,Starting House,5.0,5.0,,Yes
Female,Seungeun,Shim Seungeun,2000-12-27,BVNDIT,South Korea,,,,,,,,2019-04-10,MNH,5.0,5.0,,Yes
Female,Seunghee,Oh Seunghee,1995-10-10,CLC,South Korea,,Gwangju,,,,Gwangju,,2015-03-19,Cube,5.0,5.0,Chesire,Hiatus
Female,Seunghee,Hyun Seunghee,1996-01-25,Oh My Girl,South Korea,,Chuncheon,,,,Gangwon-do,OHMG,2015-04-21,WM,6.0,8.0,Miracle,Yes
Female,Seungmin,Lee Seungmin,1996-02-03,Hashtag,South Korea,,,,,,,Hashtag,2017-10-11,LUK,7.0,7.0,,Yes
Female,Seungyeon,Jang Seunyeon,1996-11-06,CLC,South Korea,,Seongnam,,,,Gyeonggi-do,,2015-03-19,Cube,5.0,5.0,Chesire,Hiatus
Female,Seungyeon,Han Seungyeon,1988-07-24,KARA,South Korea,,Seoul,,,,Seoul,,2007-03-29,DSP,5.0,5.0,Kamilia,Yes
Female,Seyeon,Park Seyeon,2001-05-06,Purplebeck,South Korea,,,,,,,,2019-06-24,Majesty,5.0,5.0,Beckies,Yes
Female,Seyoung,Ha Seyoung,1999-02-03,ARTBEAT,South Korea,,Daegu,,,,Daegu,,2022-11-16,,,,,
Female,Shana,Nonaka Shana,2003-03-13,Lapillus,Japan,,Kochi,,,,,,2022-06-22,MLD,6.0,6.0,LAPIS,Yes
Female,Sheon,Kim Suyeon,2003-01-28,Billlie,South Korea,,,,,,,,2021-11-10,MYSTIC,7.0,6.0,,Yes
Female,Shiho,Kwon Subin,2001-08-22,BOTOPASS,South Korea,,,,,,,,2020-08-26,WKS ENE,8.0,8.0,,Yes
Female,Shinye,Kam Yerim,2004-03-07,MAJORS,South Korea,,,,,,,,2021-03-09,ANS,6.0,6.0,MVP,Yes
Female,Shinyoung,Park Shinyoung,2000-03-19,G-reyish,South Korea,,,,,,,Greyish,2017-06-01,Elijah,4.0,4.0,,No
Female,Shion,Park Shion,2006-04-03,tripleS,South Korea,,Daejeon,,,,Daejeon,,2023-02-13,MODHAUS,20.0,24.0,,Yes
Female,Shuhua,Yeh Shuhua,2000-01-06,(G)I-DLE,Taiwan,,,,,,,,2018-05-02,Cube,5.0,6.0,,Yes
Female,Sieun,Lee Sieun,1993-09-19,CHECKMATE,South Korea,,,,,,,,2020-09-21,,,,,
Female,Sieun,Park Sieun,2001-08-01,STAYC,South Korea,,Seoul,,,,Seoul,,2020-11-12,Hi-Up,6.0,6.0,,Yes
Female,Sieun,Lee Sieun,2001-05-29,ARTBEAT,South Korea,,Daegu,,,,Daegu,,2022-11-16,,,,,
